area_type,availability,size,society,total_sqft,bath,balcony,site_location,price
Super built-up  Area,Ready To Move,1 BHK,,500,1,1,Ambegaon Budruk,20
Super built-up  Area,18-Aug,3 BHK,MaitySe,1280,2,1,Anandnagar,100
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1531,3,3,Aundh,51.77
Super built-up  Area,18-May,4 BHK,,11000,4,1,Aundh Road,1600
Built-up  Area,Ready To Move,2 BHK,,620,1,1,Balaji Nagar,23.5
Super built-up  Area,Ready To Move,3 BHK,Yaenti ,1605,2,2,Baner,65
Super built-up  Area,Ready To Move,3 BHK,Bhmesy ,1917,3,2,Baner road,110
Plot  Area,Ready To Move,4 Bedroom,,1200,3,1,Bhandarkar Road,340
Super built-up  Area,Ready To Move,3 BHK,,2750,3,2,Bhavani Peth,943
Built-up  Area,Ready To Move,3 BHK,Viissmi,1400,3,2,Bibvewadi,55
Built-up  Area,Ready To Move,3 BHK,ShdhiSa,2625,3,3,Bopodi,175
Built-up  Area,Ready To Move,2 BHK,,1100,2,1,Budhwar Peth,55
Super built-up  Area,Ready To Move,3 BHK,SaireSa,2041,3,3,Bund Garden Road,128
Super built-up  Area,Ready To Move,3 BHK,SoniaEt,2070,4,2,Camp,160
Super built-up  Area,Ready To Move,3 BHK,Arcia S,1110,3,3,Chandan Nagar,59
Built-up  Area,Ready To Move,3 BHK,Koncyad,1650,3,1,Dapodi,110
Plot  Area,18-Dec,4 Bedroom,Thessrm,3565,4,3,Deccan Gymkhana,255
Super built-up  Area,19-Dec,3 BHK,,1033,2,2,Dehu Road,30.47
Super built-up  Area,Ready To Move,2 BHK,Siestr ,1142,2,2,Dhankawadi,65
Super built-up  Area,Ready To Move,3 BHK,,1500,2,2,Dhayari Phata,75
Super built-up  Area,Ready To Move,3 BHK,Rie 2ri,1502,3,3,Dhole Patil Road,50
Super built-up  Area,Ready To Move,3 BHK,PrinePr,1176,2,1,Erandwane,45
Super built-up  Area,18-May,2 BHK,,1063,2,1,Fatima Nagar,32.8
Built-up  Area,Ready To Move,2 BHK,,1100,2,1,Fergusson College Road,60
Plot  Area,Ready To Move,2 Bedroom,,1044,2,2,Ganesh Peth,85
Plot  Area,Ready To Move,3 Bedroom,Adeatlm,5400,3,2,Ganeshkhind,700
Built-up  Area,Ready To Move,2 BHK,,1216,2,2,Ghorpade Peth,60
Super built-up  Area,Ready To Move,3 BHK,MSanaer,1425,3,2,Ghorpadi,55
Plot  Area,Ready To Move,8 Bedroom,,1200,8,2,Gokhale Nagar,150
Super built-up  Area,Ready To Move,2 BHK,Saageat,1345,2,2,Gultekdi,108
Super built-up  Area,Ready To Move,2 BHK,,1248,2,1,Guruwar peth,130
Plot  Area,Ready To Move,4 Bedroom,SRgio V,1830,4,2,Hadapsar,325
Built-up  Area,Ready To Move,2 BHK,,900,1,0,Hadapsar Industrial Estate,130
Built-up  Area,Ready To Move,4 Bedroom,Vaodssh,3600,4,,Hingne Khurd,245
Super built-up  Area,Ready To Move,2 BHK,,1025,2,1,Jangali Maharaj Road,35.88
Plot  Area,Ready To Move,2 Bedroom,,840,1,1,Kalyani Nagar,99
Super built-up  Area,Ready To Move,3 BHK,Srasy F,3050,2,,Karve Nagar,90
Super built-up  Area,Ready To Move,3 BHK,,1424,2,2,Karve Road,75
Built-up  Area,Ready To Move,3 BHK,,2500,3,1,Kasba Peth,268
Plot  Area,Ready To Move,6 Bedroom,,1200,6,,Katraj,230
Super built-up  Area,18-Aug,2 BHK,,1285,2,2,Khadaki,45
Super built-up  Area,Ready To Move,2 BHK,,1450,2,1,Khadki,55.99
Super built-up  Area,18-May,2 BHK,Prllsan,1160,2,1,Kharadi,70
Plot  Area,Ready To Move,3 Bedroom,,2700,3,0,Kondhwa,350
Plot  Area,18-Apr,3 Bedroom,Miiewa ,2000,2,2,Kondhwa Budruk,95
Super built-up  Area,Ready To Move,2 BHK,Aklia R,1125,2,1,Kondhwa Khurd,47.65
Built-up  Area,Ready To Move,4 Bedroom,Saive L,3900,4,2,Koregaon Park,175
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1133,2,1,Kothrud,38.37
Super built-up  Area,Ready To Move,2 BHK,Nihtsss,1240,2,2,Law College Road,60
Super built-up  Area,22-Nov,3 BHK,Sabixtt,1466,3,3,Laxmi Road,77.59
Super built-up  Area,Ready To Move,4 BHK,PrstaTe,3870,4,2,Lulla Nagar,411
Super built-up  Area,Ready To Move,3 BHK,DNeremo,1610,2,2,Mahatma Gandhi Road,115
Super built-up  Area,Ready To Move,3 BHK,,1220,3,2,Mangalwar peth,56
Built-up  Area,Ready To Move,2 BHK,VSomepi,1225,2,2,Manik Bagh,48
Super built-up  Area,Ready To Move,2 BHK,Javasi ,1300,2,1,Market yard,54
Super built-up  Area,19-May,3 BHK,G conTh,1996,4,1,Model colony,123
Super built-up  Area,Ready To Move,3 BHK,,1320,2,2,Mukund Nagar,55
Super built-up  Area,Ready To Move,3 BHK,Brway G,1800,3,2,Mundhawa,240
Super built-up  Area,Ready To Move,3 BHK,,1835,3,3,Nagar Road,175
Super built-up  Area,Ready To Move,3 BHK,PuineSu,1435,3,2,Nana Peth,90
Super built-up  Area,Ready To Move,3 BHK,VDarmlo,4097,3,,Narayan Peth,400
Super built-up  Area,Ready To Move,3 BHK,MJeusyl,1601,3,3,Narayangaon,70
Super built-up  Area,Ready To Move,2 BHK,Krshi G,1257,2,2,Navi Peth,93
Super built-up  Area,Ready To Move,4 BHK,Emine P,3596,5,1,Padmavati,260
Super built-up  Area,Ready To Move,2 BHK,Salisal,1309,2,2,Parvati Darshan,95
Plot  Area,Ready To Move,2 Bedroom,,1362,2,0,Pashan,100
Super built-up  Area,Ready To Move,2 BHK,Gamesti,1115,2,1,Paud Road,55
Super built-up  Area,Ready To Move,3 BHK,Brony H,1870,3,2,Pirangut,90
Super built-up  Area,18-Nov,2 BHK,,1322,2,1,Prabhat Road,61.99
Super built-up  Area,Ready To Move,3 BHK,,1450,2,1,Pune Railway Station,65
Super built-up  Area,Ready To Move,2 BHK,Goeesem,1185,2,2,Rasta Peth,67
Super built-up  Area,Ready To Move,3 BHK,Eladero,1790,3,3,Raviwar Peth,120
Plot  Area,Ready To Move,3 Bedroom,StodsWa,3450,4,2,Sadashiv Peth,208
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,Sahakar Nagar,52.5
Super built-up  Area,Ready To Move,1 BHK,PrityTr,664 - 722,1,0,Salunke Vihar,27.375
Plot  Area,Ready To Move,4 Bedroom,Adeatlm,5400,4,2,Sasson Road,750
Super built-up  Area,Ready To Move,1 BHK,,775,1,0,Satara Road,39
Built-up  Area,Ready To Move,2 BHK,Macanr ,1000,2,2,Senapati Bapat Road,48
Super built-up  Area,19-Mar,2 BHK,Bhe 2ko,1183,2,1,Shaniwar Peth,77.25
Super built-up  Area,20-Dec,3 BHK,Shestlo,1282,3,2,Shivaji Nagar,178
Super built-up  Area,Ready To Move,1 BHK,,425,1,1,Shukrawar Peth,15
Built-up  Area,Ready To Move,2 BHK,,820,2,2,Sinhagad Road,30
Super built-up  Area,Ready To Move,4 BHK,,2230,4,,Somwar Peth,792
Built-up  Area,Ready To Move,2 BHK,Srntsha,1200,2,2,Swargate,52
Super built-up  Area,18-Jun,2 BHK,ViistLa,1151,2,2,Tilak Road,43.6
Super built-up  Area,Ready To Move,3 BHK,Naepa D,1320,2,2,Uruli Devachi,59
Carpet  Area,18-Apr,3 BHK,,1450,3,2,Vadgaon Budruk,68
Super built-up  Area,Ready To Move,3 BHK,,1270,2,3,Wadgaon Sheri,50.79
Super built-up  Area,Ready To Move,3 BHK,SoitaCa,1847,3,2,Viman Nagar,123
Super built-up  Area,18-May,1 BHK,Pardsri,1020,2,1,Vishrant Wadi,49.87
Super built-up  Area,Ready To Move,3 BHK,ManceEl,1650,3,,Wagholi,95
Super built-up  Area,Ready To Move,4 BHK,,2380,4,3,Wakadewadi,242
Built-up  Area,Ready To Move,3 BHK,,2400,2,,Wanowrie,78
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1160,2,2,Warje,44
Super built-up  Area,18-Aug,4 BHK,SNnia E,2805,4,3,Yerawada,154
Super built-up  Area,18-Jun,3 BHK,Gopia O,1360,3,0,Alandi Road,47.6
Super built-up  Area,Ready To Move,2 BHK,Saandvi,1089,2,1,Ambegaon Budruk,49
Super built-up  Area,Ready To Move,2 BHK,Reverve,1115,2,2,Anandnagar,60
Super built-up  Area,Ready To Move,2 BHK,,1215,2,1,Aundh,45
Super built-up  Area,Ready To Move,2 BHK,,1194,2,1,Aundh Road,51
Super built-up  Area,18-Dec,3 BHK,Sonue A,1536,3,1,Balaji Nagar,104
Super built-up  Area,Ready To Move,2 BHK,,1255,2,2,Baner,55.5
Super built-up  Area,17-Oct,3 BHK,Prarkun,1571,3,2,Baner road,83
Plot  Area,Ready To Move,2 Bedroom,,900,1,0,Bhandarkar Road,70
Super built-up  Area,Ready To Move,2 BHK,ETens G,1517,2,2,Bhavani Peth,125
Super built-up  Area,Ready To Move,1 BHK,PrityTr,664,1,1,Bibvewadi,35.4
Super built-up  Area,Ready To Move,2 BHK,Wiaysld,1230,2,1,Bopodi,58
Super built-up  Area,Ready To Move,2 BHK,Inaadd ,1340,2,2,Budhwar Peth,72
Super built-up  Area,Ready To Move,2 BHK,DSvar S,1175,2,1,Bund Garden Road,29.38
Plot  Area,Ready To Move,4 Bedroom,,3569,4,1,Camp,600
Super built-up  Area,Ready To Move,2 BHK,,1240,2,2,Chandan Nagar,43.1
Built-up  Area,Ready To Move,3 BHK,,151.11Sq. Yards,2,0,Dapodi,150
Super built-up  Area,Ready To Move,3 BHK,DSgmax ,1470,2,1,Deccan Gymkhana,44.1
Super built-up  Area,21-Dec,1 BHK,PrarePa,525,,,Dehu Road,29.25
Super built-up  Area,Ready To Move,3 BHK,Eladero,1680,3,2,Dhankawadi,117
Super built-up  Area,Ready To Move,2 BHK,,1000,2,2,Dhayari Phata,35
Super built-up  Area,Ready To Move,2 BHK,MyhtsHe,1071,2,1,Dhole Patil Road,51
Super built-up  Area,Ready To Move,3 BHK,NDpalSe,1512,3,,Erandwane,80
Built-up  Area,Ready To Move,4 BHK,Asuilnc,3435,2,1,Fatima Nagar,341
Super built-up  Area,19-Dec,3 BHK,,3144,3,1,Fergusson College Road,455
Built-up  Area,Ready To Move,2 BHK,Saacela,1190,2,1,Ganesh Peth,60
Super built-up  Area,Ready To Move,3 BHK,MaidoPl,1550,2,3,Ganeshkhind,80
Super built-up  Area,21-May,2 BHK,GolusLi,1283,2,2,Ghorpade Peth,63.22
Built-up  Area,Ready To Move,2 BHK,GMilse ,1325,2,2,Ghorpadi,73
Super built-up  Area,Ready To Move,2 BHK,SMuilan,1105,2,1,Gokhale Nagar,35.36
Super built-up  Area,Ready To Move,3 BHK,Srldsri,1600,3,2,Gultekdi,74.5
Plot  Area,Ready To Move,4 Bedroom,,400,2,2,Guruwar peth,35
Super built-up  Area,18-Apr,2 BHK,PrarePa,700 - 900,,,Hadapsar,41.145
Super built-up  Area,Ready To Move,2 BHK,,1100,2,1,Hadapsar Industrial Estate,44.55
Super built-up  Area,21-Dec,3 BHK,Sodgere,2099,3,3,Hingne Khurd,147
Super built-up  Area,Ready To Move,3 BHK,BaiseBa,1365,2,1,Jangali Maharaj Road,72
Super built-up  Area,Ready To Move,2 BHK,Goateds,1485,3,3,Kalyani Nagar,132
Super built-up  Area,Ready To Move,2 BHK,Kelmsoy,1250,2,1,Karve Nagar,55
Super built-up  Area,Ready To Move,3 BHK,,1290,2,2,Karve Road,56.12
Super built-up  Area,Ready To Move,2 BHK,,1170,2,1,Kasba Peth,46.79
Super built-up  Area,19-Jul,2 BHK,Soazak ,1328,2,3,Katraj,91.06
Super built-up  Area,19-Mar,2 BHK,Puachal,1232,2,1,Khadaki,87
Super built-up  Area,Ready To Move,2 BHK,,1180,2,2,Khadki,88.5
Super built-up  Area,Ready To Move,3 BHK,Palleon,1350,3,2,Kharadi,66
Super built-up  Area,18-May,4 BHK,,3602,4,,Kondhwa,280
Super built-up  Area,Ready To Move,4 BHK,,2400,4,1,Kondhwa Budruk,145
Super built-up  Area,Ready To Move,2 BHK,Prvanai,1020,2,2,Kondhwa Khurd,32
Super built-up  Area,Ready To Move,3 BHK,Dhalsh ,1410,2,3,Koregaon Park,49.34
Built-up  Area,Ready To Move,3 BHK,PrBayGa,2159,3,2,Kothrud,120
Plot  Area,Immediate Possession,,Vaensnd,1453,,,Law College Road,16.5
Super built-up  Area,18-Apr,3 BHK,,1200,2,0,Laxmi Road,66
Super built-up  Area,Ready To Move,2 BHK,Shateor,1255,2,1,Lulla Nagar,57.5
Super built-up  Area,18-Sep,2 BHK,ARipsul,1074,2,1,Mahatma Gandhi Road,42.79
Plot  Area,18-Nov,3 Bedroom,PrhyaK ,1200,3,2,Mangalwar peth,72
Super built-up  Area,18-Apr,3 BHK,SNityVe,1170,2,2,Manik Bagh,35.41
Super built-up  Area,21-Jun,1 BHK,Coowsri,596 - 861,1,0,Market yard,31.315
Super built-up  Area,Ready To Move,3 BHK,PindsWo,1660,2,,Model colony,100
Plot  Area,Ready To Move,5 Bedroom,,900,6,1,Mukund Nagar,95
Built-up  Area,Ready To Move,6 Bedroom,,1850,3,0,Mundhawa,175
Built-up  Area,Ready To Move,1 Bedroom,,510,1,0,Nagar Road,34
Super built-up  Area,Ready To Move,3 BHK,Neony H,1601,3,2,Nana Peth,95
Super built-up  Area,18-Mar,2 BHK,,952,2,1,Narayan Peth,42
Super built-up  Area,Ready To Move,2 BHK,,1166,2,3,Narayangaon,65
Built-up  Area,Ready To Move,3 BHK,ThBayah,2700,2,1,Navi Peth,260
Built-up  Area,Ready To Move,4 Bedroom,Rie 2 P,1900,3,1,Padmavati,97
Plot  Area,Ready To Move,3 Bedroom,,1350,2,0,Parvati Darshan,175
Super built-up  Area,18-Aug,3 BHK,SNnia E,1520,2,2,Pashan,96
Plot  Area,Ready To Move,4 Bedroom,,2100,6,3,Paud Road,100
Super built-up  Area,Ready To Move,2 BHK,,1175,2,2,Pirangut,50
Super built-up  Area,Ready To Move,2 BHK,ReudePr,1432,2,2,Prabhat Road,68
Super built-up  Area,18-Jun,2 BHK,,1005,2,1,Pune Railway Station,39.77
Super built-up  Area,Ready To Move,2 BHK,,1309,2,1,Rasta Peth,80
Super built-up  Area,Ready To Move,3 BHK,Soeurri,2251,4,2,Raviwar Peth,370
Super built-up  Area,Ready To Move,2 BHK,Brnia G,1050,2,1,Sadashiv Peth,77
Super built-up  Area,21-Dec,3 BHK,PrarePa,1100,3,2,Sahakar Nagar,53
Plot  Area,Ready To Move,3 Bedroom,,2400,3,3,Salunke Vihar,310
Super built-up  Area,Ready To Move,3 BHK,Dhalsh ,1565,2,2,Sasson Road,56.34
Built-up  Area,Ready To Move,2 BHK,,940,2,1,Satara Road,56
Super built-up  Area,18-Jun,2 BHK,,1015,2,1,Senapati Bapat Road,40.1
Plot  Area,Ready To Move,3 Bedroom,,2400,2,0,Shaniwar Peth,360
Super built-up  Area,Ready To Move,3 BHK,SJityVe,1652,3,3,Shivaji Nagar,110
Super built-up  Area,Ready To Move,2 BHK,,1100,2,2,Shukrawar Peth,52
Super built-up  Area,Ready To Move,4 BHK,PuoodSk,2340,4,1,Sinhagad Road,145
Super built-up  Area,21-Jul,2 BHK,G ceses,1084,2,1,Somwar Peth,179
Plot  Area,Ready To Move,2 Bedroom,,1200,1,1,Swargate,81
Super built-up  Area,Ready To Move,3 BHK,JPoldGo,1400,3,3,Tilak Road,69
Plot  Area,16-Mar,4 Bedroom,,2400,5,0,Uruli Devachi,320
Super built-up  Area,18-Jul,2 BHK,Sryalan,1020,2,1,Vadgaon Budruk,27.43
Super built-up  Area,Ready To Move,2 BHK,PritaDo,1267,2,1,Wadgaon Sheri,90.33
Super built-up  Area,Ready To Move,4 BHK,Pride S,2439,4,3,Viman Nagar,185
Built-up  Area,Ready To Move,3 BHK,SJcerpe,1645,3,,Vishrant Wadi,95
Super built-up  Area,Ready To Move,3 BHK,,1100,2,2,Wagholi,75
Built-up  Area,18-Dec,3 BHK,,1320,2,1,Wakadewadi,38.12
Super built-up  Area,18-Apr,2 BHK,,1000,2,1,Wanowrie,29.7
Built-up  Area,Ready To Move,4 Bedroom,Chllea ,5000,5,2,Warje,550
Built-up  Area,Ready To Move,6 Bedroom,,2500,6,3,Yerawada,58
Plot  Area,Ready To Move,2 Bedroom,,2480,2,1,Alandi Road,160
Built-up  Area,Ready To Move,2 BHK,JRaderc,1086,2,2,Ambegaon Budruk,44.5
Super built-up  Area,18-Nov,1 BHK,VBn 2lm,416,1,1,Anandnagar,18
Built-up  Area,Ready To Move,2 BHK,Koagati,1066,2,1,Aundh,52.23
Super built-up  Area,Ready To Move,3 BHK,Inntsa ,1730,3,1,Aundh Road,93
Super built-up  Area,20-Jan,2 BHK,Soresea,1205,2,1,Balaji Nagar,63.86
Super built-up  Area,Ready To Move,4 BHK,Prionad,2500,5,2,Baner,175
Super built-up  Area,Ready To Move,2 BHK,DStik S,960,2,1,Baner road,55
Super built-up  Area,18-Jul,3 BHK,SNnia E,1510,3,2,Bhandarkar Road,83.05
Built-up  Area,Ready To Move,4 Bedroom,,1600,4,2,Bhavani Peth,90
Built-up  Area,Ready To Move,3 Bedroom,GRlas V,2300,3,2,Bibvewadi,142
Built-up  Area,Ready To Move,2 BHK,,1000,2,1,Bopodi,63
Super built-up  Area,Ready To Move,2 BHK,,1160,2,1,Budhwar Peth,46.39
Super built-up  Area,19-Sep,3 BHK,,1553,2,2,Bund Garden Road,58.23
Super built-up  Area,Ready To Move,4 BHK,Asuilnc,3436,5,,Camp,345
Super built-up  Area,18-Aug,2 BHK,,1134,2,2,Chandan Nagar,45
Plot  Area,Ready To Move,4 Bedroom,,600,4,2,Dapodi,80
Plot  Area,Ready To Move,5 Bedroom,,2400,3,3,Deccan Gymkhana,80
Plot  Area,18-Nov,4 Bedroom,,2400,4,1,Dehu Road,143
Super built-up  Area,Ready To Move,2 BHK,,1350,2,2,Dhankawadi,65
Super built-up  Area,Ready To Move,2 BHK,,1032,2,1,Dhayari Phata,42
Super built-up  Area,Ready To Move,3 BHK,Spess C,1998,3,2,Dhole Patil Road,117
Super built-up  Area,18-Aug,2 BHK,,1225,2,2,Erandwane,48
Super built-up  Area,Ready To Move,2 BHK,Contsci,1262,2,2,Fatima Nagar,67
Super built-up  Area,20-Jan,3 BHK,DNncasa,1842,3,2,Fergusson College Road,115
Super built-up  Area,Ready To Move,2 BHK,TuiteIn,1300,2,,Ganesh Peth,60
Super built-up  Area,18-Jun,2 BHK,,1070,2,2,Ganeshkhind,38.6
Built-up  Area,21-Dec,2 BHK,,950,2,1,Ghorpade Peth,33
Super built-up  Area,18-Mar,2 BHK,Soresea,1012,2,1,Ghorpadi,53.58
Built-up  Area,Ready To Move,2 Bedroom,,1000,2,0,Gokhale Nagar,70
Super built-up  Area,Ready To Move,2 BHK,KMnorab,1394,2,2,Gultekdi,56
Super built-up  Area,Ready To Move,3 BHK,Prentra,1450,2,1,Guruwar peth,85
Super built-up  Area,Ready To Move,1 RK,Krntsee,527,1,0,Hadapsar,35
Super built-up  Area,Ready To Move,3 BHK,Adeatlm,1693,3,2,Hadapsar Industrial Estate,125
Super built-up  Area,Ready To Move,4 BHK,Prtanha,3122,6,2,Hingne Khurd,235
Super built-up  Area,Ready To Move,2 BHK,DSireSo,1000,2,1,Jangali Maharaj Road,46
Built-up  Area,Ready To Move,2 BHK,,952,2,2,Kalyani Nagar,49
Super built-up  Area,Ready To Move,3 BHK,Maens G,2050,4,,Karve Nagar,270
Super built-up  Area,Ready To Move,1 BHK,,1200,1,1,Karve Road,14
Super built-up  Area,19-Apr,3 BHK,Brama P,1410,2,2,Kasba Peth,64
Super built-up  Area,Ready To Move,2 BHK,Goateds,1400,2,2,Katraj,108
Plot  Area,Ready To Move,4 Bedroom,Theanmp,3056,5,,Khadaki,100
Super built-up  Area,Ready To Move,3 BHK,Saitya ,1826,3,2,Khadki,125
Super built-up  Area,18-Jun,3 BHK,PuendWe,1689,3,2,Kharadi,103
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,Kondhwa,31
Super built-up  Area,Ready To Move,5 BHK,,2500,4,,Kondhwa Budruk,1400
Super built-up  Area,Ready To Move,2 BHK,,960,2,1,Kondhwa Khurd,48
Built-up  Area,Ready To Move,2 BHK,,808,2,1,Koregaon Park,40
Super built-up  Area,Ready To Move,2 BHK,,907,2,2,Kothrud,38.5
Super built-up  Area,Ready To Move,2 BHK,AkncyRe,1300,2,2,Law College Road,55
Super built-up  Area,Ready To Move,3 BHK,SodilDa,1804,3,2,Laxmi Road,150
Super built-up  Area,Ready To Move,3 BHK,,1350,3,2,Lulla Nagar,81
Super built-up  Area,Ready To Move,3 BHK,Priew P,1836,3,2,Mahatma Gandhi Road,125
Super built-up  Area,Ready To Move,2 BHK,Pry 2 R,826,2,2,Mangalwar peth,36
Super built-up  Area,Ready To Move,2 BHK,Undraro,1200,2,3,Manik Bagh,68
Super built-up  Area,18-Dec,4 BHK,,3000,3,3,Market yard,300
Plot  Area,Ready To Move,4 Bedroom,,2400,4,2,Model colony,405
Super built-up  Area,Ready To Move,2 BHK,JClyner,1460,2,,Mukund Nagar,80
Plot  Area,Ready To Move,4 Bedroom,Dhistee,1200,4,3,Mundhawa,140
Super built-up  Area,Ready To Move,2 BHK,Vincyat,965,2,2,Nagar Road,56
Carpet  Area,Ready To Move,4 Bedroom,,2000,4,2,Nana Peth,95
Super built-up  Area,Ready To Move,3 BHK,Amconi ,1395,2,2,Narayan Peth,70
Super built-up  Area,Ready To Move,3 BHK,DSndsod,1660,3,2,Narayangaon,116
Super built-up  Area,Ready To Move,2 BHK,,935,2,2,Navi Peth,35
Super built-up  Area,Ready To Move,2 BHK,Srrtsu ,1180,2,1,Padmavati,39
Built-up  Area,18-Dec,2 BHK,,1090,2,1,Parvati Darshan,31.48
Super built-up  Area,19-Jan,2 BHK,PrityFa,1204,2,1,Pashan,82
Super built-up  Area,Ready To Move,3 BHK,Prtanha,2072,4,2,Paud Road,153
Built-up  Area,Ready To Move,2 BHK,Zostaa ,1056,2,1,Pirangut,65
Super built-up  Area,18-Dec,2 BHK,Magiaya,985,2,2,Prabhat Road,62
Super built-up  Area,Ready To Move,3 BHK,,1315,2,2,Pune Railway Station,49
Built-up  Area,Ready To Move,2 BHK,,734,2,1,Rasta Peth,22
Built-up  Area,Ready To Move,4 Bedroom,,2900,4,2,Raviwar Peth,200
Super built-up  Area,Ready To Move,3 BHK,Niareum,2317,4,3,Sadashiv Peth,140
Built-up  Area,Ready To Move,1 Bedroom,,600,1,0,Sahakar Nagar,45
Built-up  Area,Ready To Move,4 Bedroom,,2200,3,0,Salunke Vihar,115
Super built-up  Area,Ready To Move,2 BHK,Jae 2hu,656,2,1,Sasson Road,25
Built-up  Area,Ready To Move,1 BHK,Jae 2hu,400,1,1,Satara Road,11.5
Super built-up  Area,Ready To Move,1 BHK,IBityin,666,1,1,Senapati Bapat Road,36.8
Plot  Area,Ready To Move,4 Bedroom,,3293,5,2,Shaniwar Peth,425
Super built-up  Area,Ready To Move,2 BHK,Shncyes,1174,2,1,Shivaji Nagar,47
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1153,2,2,Shukrawar Peth,56.7
Plot  Area,Ready To Move,4 Bedroom,,1000,4,1,Sinhagad Road,90
Built-up  Area,Ready To Move,5 BHK,,2400,5,2,Somwar Peth,85
Super built-up  Area,Ready To Move,2 BHK,,957,2,1,Swargate,47
Built-up  Area,Ready To Move,2 BHK,Say 3 R,910,2,2,Tilak Road,160
Built-up  Area,17-Dec,2 BHK,,1060,2,1,Uruli Devachi,50
Super built-up  Area,18-Jul,2 BHK,,1000,2,1,Vadgaon Budruk,50
Super built-up  Area,Ready To Move,3 BHK,PuandHi,1843,3,2,Wadgaon Sheri,88
Super built-up  Area,Ready To Move,3 BHK,,1150,2,2,Viman Nagar,40.25
Super built-up  Area,18-Sep,3 BHK,SunceEs,1230,2,2,Vishrant Wadi,31.37
Super built-up  Area,Ready To Move,4 BHK,Soianal,3197,5,2,Wagholi,335
Super built-up  Area,19-Jul,3 BHK,Soazak ,1703,3,2,Wakadewadi,130
Super built-up  Area,Ready To Move,2 BHK,DencyRe,1125,2,1,Wanowrie,41.5
Super built-up  Area,Ready To Move,3 BHK,SraveHi,1516,3,3,Warje,65
Super built-up  Area,Ready To Move,2 BHK,Srluei ,1130,2,2,Yerawada,56
Super built-up  Area,Ready To Move,4 BHK,Emine P,3596,5,1,Alandi Road,279
Super built-up  Area,19-Jun,3 BHK,Sosisic,1512,3,2,Ambegaon Budruk,103
Built-up  Area,Ready To Move,3 BHK,Bhmesy ,1491,3,1,Anandnagar,88
Super built-up  Area,Ready To Move,2 BHK,Eledst ,1250,2,2,Aundh,95
Super built-up  Area,18-Aug,3 BHK,,1650,3,2,Aundh Road,90.75
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1140,2,1,Balaji Nagar,48.7
Plot  Area,Ready To Move,4 Bedroom,,1200,4,1,Baner,110
Super built-up  Area,Ready To Move,3 BHK,Rehtsna,1881,3,,Baner road,95
Super built-up  Area,21-Dec,3 BHK,PrarePa,1100,3,2,Bhandarkar Road,56.57
Super built-up  Area,Ready To Move,3 BHK,Emine P,2666,4,1,Bhavani Peth,200
Super built-up  Area,Ready To Move,2 BHK,,1500,2,1,Bibvewadi,50
Super built-up  Area,18-Dec,2 BHK,,1217,2,1,Bopodi,164
Built-up  Area,Ready To Move,2 BHK,,1197,2,1,Budhwar Peth,50
Built-up  Area,Ready To Move,6 Bedroom,,2400,4,1,Bund Garden Road,170
Built-up  Area,Ready To Move,3 BHK,Mauner ,1345,3,2,Camp,60
Plot  Area,Ready To Move,4 Bedroom,IJent A,1200,4,2,Chandan Nagar,100
Super built-up  Area,Ready To Move,4 BHK,Anineu ,3230,5,0,Dapodi,165
Super built-up  Area,Ready To Move,3 BHK,,1260,2,1,Deccan Gymkhana,95
Built-up  Area,Ready To Move,4 Bedroom,VaMarll,2750,5,1,Dehu Road,240
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,Dhankawadi,80
Built-up  Area,Ready To Move,3 Bedroom,,1650,3,0,Dhayari Phata,52
Super built-up  Area,Ready To Move,1 BHK,,600,1,0,Dhole Patil Road,45
Super built-up  Area,Ready To Move,2 BHK,Shony S,1025,2,1,Erandwane,35.88
Super built-up  Area,18-Dec,4 BHK,Kinuerg,1925 - 2680,,,Fatima Nagar,80.59
Super built-up  Area,Ready To Move,2 BHK,Koagati,973,2,1,Fergusson College Road,56
Super built-up  Area,19-Dec,4 BHK,,4110,4,2,Ganesh Peth,590
Super built-up  Area,Ready To Move,3 BHK,PhestOn,2533,3,3,Ganeshkhind,425
Super built-up  Area,Ready To Move,2 BHK,Soresea,1007,2,1,Ghorpade Peth,75
Super built-up  Area,19-Mar,1 BHK,Skume R,615 - 985,1,0,Ghorpadi,39.99
Built-up  Area,18-Dec,3 Bedroom,,1830,3,1,Gokhale Nagar,119
Super built-up  Area,Ready To Move,2 BHK,,1077,2,1,Gultekdi,50
Plot  Area,Ready To Move,1 Bedroom,,672,1,1,Guruwar peth,27
Plot  Area,Ready To Move,3 Bedroom,,1280,3,0,Hadapsar,87
Built-up  Area,Ready To Move,2 BHK,,865,2,0,Hadapsar Industrial Estate,40
Super built-up  Area,Ready To Move,2 BHK,ARomee ,1000,2,2,Hingne Khurd,33
Super built-up  Area,Ready To Move,2 BHK,Chhamku,1285,2,2,Jangali Maharaj Road,65
Super built-up  Area,Ready To Move,1 BHK,Pronyt ,662,1,1,Kalyani Nagar,29
